country,lat,lon,heading
BW,-18.238994,25.434365,0
RU,54.561464,37.083289,0
UY,-32.289732,-55.813486,0
BE,50.393001,4.739417,0
UG,0.206912,32.590465,0
NG,10.285036,5.751769,0
OM,18.014586,55.95104,0
GU,13.563629,144.854898,0
US,46.053586,-117.238836,0
GT,14.486801,-89.694439,0
NG,6.473866,7.94153,0
GU,13.478468,144.848007,0
KG,42.863443,74.507436,0
LU,49.819847,6.123952,0
UG,0.364284,32.51038,0
PL,50.630134,19.875453,0
GB,56.889849,-4.683784,0
IM,54.089462,-4.746475,0
PA,9.116944,-79.908188,0
MO,22.193284,113.554937,0
SM,43.944138,12.457692,0
GR,40.926533,25.922543,0
ZA,-23.608818,31.028599,0
AX,60.012222,20.405714,0
AU,-29.002522,134.755959,0
FO,62.115559,-7.058028,0
GL,68.312629,-53.458799,0
GT,14.459341,-91.573352,0
GT,14.602996,-90.602289,0
SN,14.900509,-16.865364,0
GL,64.173512,-51.737972,0
KG,42.727382,74.609332,0
KZ,49.793971,51.368732,0
RW,-2.028079,30.514529,0
KH,11.638263,104.305839,0
UG,0.047918,32.561107,0
DO,18.508923,-69.798123,0
GB,52.614342,0.332561,0
CZ,49.128034,17.920452,0
TW,23.602724,120.145439,0
TH,18.099538,101.143768,0
US,31.703127,-94.80394,0
AS,-14.253898,-170.659451,0
PH,15.53754,119.976712,0
CZ,49.749589,13.078121,0
NP,26.660738,87.535448,0
AT,48.60285,15.742695,0
MP,15.178015,145.776524,0
JO,30.776033,35.945565,0
RW,-2.485831,28.96303,0
HK,22.364235,113.999634,0
SN,14.701813,-16.907958,0
ST,0.324801,6.704925,0
NP,27.549976,83.218025,0
LU,49.478569,6.362952,0
NP,28.18136,81.481086,0
IM,54.364042,-4.480286,0
KR,34.906481,126.842754,0
AL,40.537158,19.635458,0
RS,44.426192,20.447812,0
IS,64.02363,-20.925568,0
IN,22.59556,81.780561,0
UG,3.825052,33.701143,0
LU,49.594218,5.850101,0
SM,43.915538,12.453463,0
NA,-24.455001,18.505785,0
LA,17.987338,102.617123,0
FI,63.097942,25.239326,0
AS,-14.172822,-169.627317,0
OM,22.818934,56.547555,0
AD,42.563295,1.680289,0
VN,12.166993,107.639823,0
GB,56.436749,-5.675102,0
KH,12.122531,106.604559,0
QA,25.390056,51.475224,0
DK,56.501742,10.198958,0
AU,-16.791689,145.681301,0
SK,48.762343,17.456797,0
IE,54.239058,-6.925965,0
JP,36.981076,138.544857,0
BW,-21.777669,21.651843,0
NL,51.42085,3.733872,0
LK,7.140308,79.985377,0
OM,23.000063,56.496805,0
US,33.552323,-100.308665,0
ME,42.952359,19.572098,0
MX,21.325947,-104.671805,0
SN,12.498808,-15.633021,0
BT,27.386992,89.417481,0
LK,7.4499,80.065822,0
LA,16.56188,104.767759,0
NG,9.654752,8.551359,0
KR,37.29122,126.988645,0
CL,-32.617551,-71.430375,0
AT,47.626733,15.293053,0
NA,-17.50143,14.886917,0
KZ,43.291919,76.864797,0
DK,54.848695,9.711534,0
AX,60.298101,19.992437,0
MO,22.114291,113.560463,0
BW,-25.406075,25.284233,0
AS,-14.277405,-170.682186,0
NZ,-38.652709,178.120361,0
TW,25.156584,121.696037,0
LS,-29.207946,28.870811,0
BT,27.603658,90.703685,0
ME,42.907673,19.544876,0
MX,22.305584,-104.449269,0
OM,24.484406,56.584947,0
SG,1.307074,103.891908,0
DK,55.458466,12.035532,0
GB,52.179288,-1.342908,0
AD,42.515275,1.543318,0
NL,51.670977,5.858493,0
AT,47.423103,16.19484,0
UY,-32.217797,-58.014216,0
AT,48.167537,15.47239,0
BO,-17.583901,-63.209475,0
CW,12.114275,-68.938211,0
ES,42.521622,-8.008328,0
LK,7.955262,79.938771,0
KH,12.77331,103.258619,0
BW,-22.599181,27.65845,0
IT,40.129682,16.624906,0
JE,49.198429,-2.17214,0
ES,42.892436,-9.034883,0
US,48.077641,-97.148763,0
JE,49.233854,-2.170081,0
MK,41.391357,22.351953,0
CA,54.759822,-101.869387,0
EE,59.143716,27.355207,0
LT,55.813619,22.880967,0
CZ,49.299608,16.892892,0
HU,47.798836,18.895718,0
MP,15.149405,145.731486,0
JE,49.195871,-2.134131,0
GR,38.492365,23.257058,0
BD,22.500175,89.19617,0
KE,-0.499258,37.513689,0
EE,58.996579,25.477143,0
DK,56.47819,8.298803,0
BD,24.739745,90.954835,0
PT,39.077439,-9.29302,0
SZ,-26.514988,31.553302,0
PR,18.372197,-65.829796,0
VN,22.345291,105.042605,0
SN,15.420664,-16.676298,0
HK,22.298283,114.29342,0
LK,7.694626,81.734668,0
MO,22.156923,113.544216,0
MY,5.459202,100.284321,0
ST,0.362467,6.687543,0
GB,50.05929,-5.588877,0
MO,22.135749,113.579173,0
ES,37.850998,-1.427229,0
ZA,-23.934246,31.608194,0
IS,65.93519,-16.416792,0
KH,13.503166,103.379997,0
PT,41.941876,-8.52425,0
BO,-19.030045,-68.096476,0
PH,9.036189,117.73419,0
IL,32.422442,34.949864,0
ST,0.113715,6.632741,0
NA,-18.297091,17.999051,0
GT,14.887847,-92.091447,0
MX,25.441787,-102.191956,0
LS,-29.734767,27.56158,0
HU,46.639037,18.283239,0
OM,18.744823,56.125796,0
TR,39.940073,30.40428,0
GB,51.338481,-2.348957,0
IM,54.322256,-4.390587,0
PE,-13.373059,-75.846697,0
LS,-29.810013,28.030962,0
GH,5.860564,0.599734,0
GL,67.003217,-50.73066,0
TW,24.423182,121.010183,0
IS,65.764192,-22.173788,0
OM,18.084887,55.09618,0
CX,-10.437109,105.669161,0
ZA,-25.329735,26.407448,0
AE,25.732838,55.982754,0
CW,12.210715,-69.046379,0
OM,18.041018,56.127891,0
FO,61.441209,-6.77654,0
KG,42.939275,74.978524,0
NZ,-39.145794,173.921102,0
AU,-29.797529,153.238669,0
IM,54.314533,-4.521582,0
IE,54.188601,-9.110591,0
MN,46.222057,106.056548,0
OM,18.945806,56.38764,0
PH,8.151819,126.362179,0
KH,11.53328,104.28198,0
GH,6.843684,-1.410323,0
HR,45.133103,18.879387,0
IL,32.860805,35.305785,0
RO,44.649074,28.530677,0
MT,35.818864,14.522029,0
RO,45.081604,24.945087,0
CL,-27.514842,-70.42808,0
ST,0.361972,6.697227,0
LA,16.571255,104.745871,0
DE,51.60012,7.046535,0
MO,22.197115,113.556358,0
AR,-26.32935,-54.615173,0
RW,-1.981257,30.130076,0
CZ,49.450392,14.443573,0
PR,18.069565,-67.015537,0
KR,37.962118,126.869482,0
MT,36.042498,14.2194,0
IE,53.609083,-7.186871,0
BO,-16.320457,-68.027428,0
DO,19.507516,-70.743258,0
PL,54.57573,16.875202,0
HK,22.299842,114.241674,0
NA,-18.40234,16.644925,0
MP,15.224397,145.760225,0
LS,-29.163135,28.020632,0
GH,6.236859,-0.925397,0
MP,15.179753,145.754283,0
UY,-31.717545,-57.673196,0
KZ,43.217861,68.257828,0
FI,62.87973,23.521172,0
AR,-45.256146,-68.90592,0
PR,18.280848,-66.709627,0
GU,13.286229,144.753601,0
LB,34.355851,35.933823,0
LB,33.814189,35.939931,0
JE,49.177049,-2.096688,0
CL,-44.572454,-72.419236,0
BO,-18.420598,-64.125558,0
LB,33.871132,35.489671,0
BO,-20.383454,-63.403694,0
AX,60.254277,20.779526,0
NO,59.486979,5.734859,0
PA,8.635845,-80.282343,0
GU,13.51712,144.821112,0
MP,15.286031,145.815679,0
PL,52.439916,15.348155,0
NG,7.744566,4.772943,0
GH,5.898573,-0.879639,0
MX,18.430865,-97.400313,0
SM,43.938907,12.432764,0
PR,18.038473,-66.210496,0
RO,44.737224,24.982987,0
RW,-1.850395,30.244987,0
PL,53.391591,17.519329,0
EE,57.664491,26.468535,0
ID,-2.853364,105.094723,0
HR,45.667075,18.292295,0
LK,6.75226,80.995966,0
ID,-7.520047,109.965935,0
AU,-25.383265,141.618131,0
GU,13.467058,144.751912,0
MO,22.132816,113.584274,0
AX,60.455115,20.940598,0
NL,53.390137,6.333558,0
AU,-28.010535,119.28957,0
KE,-0.692767,34.951184,0
SN,15.469212,-16.057051,0
AL,40.560439,19.648578,0
IL,33.008692,35.560512,0
GI,36.146115,-5.342154,0
IS,65.125263,-14.333901,0
FR,49.831292,3.192675,0
DE,52.377878,13.409972,0
JP,34.378774,133.922512,0
LS,-29.128032,28.869053,0
KR,33.286819,126.607947,0
QA,25.053296,51.455139,0
BW,-20.942893,24.36169,0
UG,0.217787,32.480255,0
NO,69.253075,19.997074,0
RO,47.387001,22.599327,0
GT,15.172921,-90.785164,0
LK,9.305008,80.355474,0
OM,18.112046,55.874402,0
EE,58.711196,22.550873,0
NL,52.164196,5.470106,0
MK,41.283204,20.789197,0
AX,60.1269,19.91615,0
FI,61.306921,26.959548,0
UA,48.737164,24.858294,0
DK,56.331771,8.413568,0
HU,46.320005,17.558333,0
PT,40.704214,-7.556938,0
SE,57.969287,15.652161,0
ES,41.074546,-4.830395,0
PL,53.980008,16.874209,0
LT,54.239193,23.81551,0
BW,-20.551199,22.836357,0
DE,52.215299,11.017595,0
KR,37.38708,128.520531,0
JP,35.533138,139.726754,0
LS,-29.692902,27.280066,0
GL,65.888346,-37.778511,0
AE,24.866526,55.544454,0
VN,9.30102,105.426333,0
NZ,-45.056302,168.577728,0
TN,35.558976,10.913747,0
BE,50.887829,2.934915,0
KH,13.066013,102.59116,0
LI,47.228777,9.517899,0
NL,51.822431,4.806384,0
RO,45.129306,23.410126,0
PR,18.198856,-66.108869,0
MY,1.301766,110.260794,0
PR,18.339703,-67.15908,0
ME,42.88856,20.296472,0
LK,6.808729,80.08386,0
SI,46.442318,14.938481,0
SZ,-26.663764,31.879149,0
KE,-1.529604,35.599658,0
IN,20.244035,73.399672,0
AU,-22.642804,117.710476,0
FI,63.194646,28.683417,0
LA,16.588695,104.756496,0
UY,-31.7325,-57.86676,0
EE,58.572478,23.386775,0
